REGION,PSU,PJ,STRATUM,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERMVIT,PERNOTMVIT,NUM_INJ,MONTH,DAY_WEEK,HOUR,MINUTE,HARM_EV,ALCOHOL,MAX_SEV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,INT_HWY,CF1,CF2,CF3,WKDY_IM,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
3,63,2907,8,2,2,0,0,3,0,2,1,6,10,27,12,2,1,6,0,2,3,0,1,1,1,0,1,0,0,0,0,0,6,10,27,12,6,0,2,1,1,1,2,2,2,3,16,63,182.4335326
3,63,2906,8,1,1,0,0,3,0,1,1,4,17,14,31,2,2,0,0,1,1,0,4,5,2,0,2,0,0,0,0,0,4,17,14,31,0,0,1,5,2,2,1,2,2,3,16,63,182.4335326
3,63,2907,9,2,2,0,0,2,0,0,1,5,12,39,12,9,0,1,0,1,1,0,1,1,10,0,10,0,0,0,0,0,5,12,39,12,1,0,1,1,10,0,0,2,2,3,16,63,183.8066379
3,63,2907,10,1,1,0,0,1,0,0,1,5,14,31,33,2,0,0,0,1,1,0,4,1,10,0,10,0,0,0,0,0,5,14,31,33,0,0,1,1,10,0,0,2,2,3,16,63,310.4047017
3,63,2907,6,2,2,0,0,2,0,2,1,4,17,50,12,2,1,1,0,1,1,0,1,2,2,0,2,0,0,0,0,0,4,17,50,12,1,0,1,2,2,1,2,2,2,3,16,63,63.6975346
3,63,2907,9,2,2,0,0,3,0,0,1,3,12,58,12,2,0,7,0,1,1,0,1,1,1,0,1,0,0,0,0,0,3,12,58,12,7,0,1,1,1,0,0,2,2,3,16,63,183.8066379
3,70,138,10,2,2,0,0,2,0,0,1,2,15,2,12,2,0,7,1,5,1,0,1,1,1,0,1,0,1,0,0,0,2,15,2,12,7,1,5,1,1,0,0,2,2,3,16,70,215.218122
3,63,2907,10,2,2,0,0,4,0,0,1,2,10,46,12,2,0,1,0,3,98,0,1,1,1,0,1,0,0,0,0,0,2,10,46,12,1,0,3,1,1,0,0,2,2,3,16,63,310.4047017
3,63,2907,8,3,3,0,0,5,0,4,1,1,15,1,12,2,2,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,15,1,12,1,0,1,1,1,2,4,2,2,3,16,63,182.4335326
3,63,2907,3,1,1,0,0,1,0,1,1,1,19,15,1,1,2,0,0,2,3,0,1,3,1,0,1,0,0,0,0,0,1,19,15,1,0,0,2,3,1,2,1,1,2,3,16,63,40.55573068
3,63,2907,5,2,2,0,0,2,0,2,1,1,16,23,12,2,3,2,0,8,1,0,1,1,1,0,1,0,0,0,0,0,1,16,23,12,2,0,8,1,1,3,2,2,2,3,16,63,89.2226075
3,65,2883,5,2,2,0,0,2,0,2,1,6,13,20,12,9,4,2,0,1,1,0,1,1,1,0,1,0,0,20,0,0,6,13,20,12,2,0,1,1,1,4,2,2,1,3,13,65,34.55808553
3,65,2883,6,2,2,0,0,2,0,2,1,3,15,29,12,2,1,2,0,2,2,0,1,1,1,0,1,0,0,0,0,0,3,15,29,12,2,0,2,1,1,1,2,2,1,3,13,65,54.08640253
3,65,2883,3,2,2,0,0,2,0,1,1,7,12,0,12,2,1,6,0,8,1,0,1,1,1,0,1,0,0,0,0,0,7,12,0,12,6,0,8,1,1,1,1,2,1,3,13,65,33.37941366
3,65,2881,10,1,1,0,0,1,0,0,1,7,16,33,24,2,0,0,0,1,1,0,4,1,10,0,10,0,0,0,0,0,7,16,33,24,0,0,1,1,10,0,0,2,1,3,13,65,268.9704807
3,65,2881,7,2,2,0,0,3,0,0,1,6,19,26,12,2,0,7,0,1,1,0,1,2,1,0,1,0,1,19,0,0,6,19,26,12,7,0,1,2,1,0,0,2,1,3,13,65,174.0540163
3,65,2881,5,2,2,0,0,3,0,1,1,6,18,45,12,2,3,1,0,1,1,0,1,2,1,0,1,0,1,28,0,0,6,18,45,12,1,0,1,2,1,3,1,2,1,3,13,65,26.42312101
3,65,2881,6,2,2,0,0,3,0,1,1,5,17,0,12,2,1,2,0,8,1,0,1,1,10,0,10,0,0,0,0,0,5,17,0,12,2,0,8,1,10,1,1,2,1,3,13,65,54.08640253
3,65,2881,5,2,1,1,0,1,0,1,1,1,18,39,14,1,3,0,0,8,1,0,5,5,1,0,1,0,0,24,0,0,1,18,39,14,0,0,8,5,1,3,1,1,1,3,13,65,26.42312101
