REGION,PSU,PSU_VAR,PSUSTRAT,URBANICITY,STRATUM,PJ,WEIGHT,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERMVIT,MONTH,DAY_WEEK,WKDY_IM,HOUR,HOUR_IM,MINUTE,MINUTENAME,MINUTE_IM,MINUTE_IMNAME,HARM_EV,EVENT1_IM,MAN_COLL,MANCOL_IM,RELJCT1,RELJCT1_IM,RELJCT2,RELJCT2_IM,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,LGTCON_IM,WEATHER,WEATHR_IM,SCH_BUS,INT_HWY,MAX_SEV,MAXSEV_IM,NUM_INJ,NO_INJ_IM,ALCOHOL,ALCHL_IM
3,75,75,19,2,5,4144,29.23905262,0,0,2,2,0,2,1,7,7,9,9,48,48,48,48,12,12,2,2,0,0,1,1,1,1,0,1,1,2,2,0,0,4,4,2,2,9,2
3,48,48,12,1,6,85,48.39871873,0,0,1,1,0,1,1,7,7,21,21,38,38,38,38,42,42,0,0,0,0,1,1,1,4,0,2,2,2,2,0,1,2,2,1,1,2,2
3,48,48,12,1,10,91,195.3604739,0,0,2,2,0,3,1,1,1,5,5,55,55,55,55,12,12,1,1,0,0,1,1,1,1,0,3,3,2,2,0,0,0,0,0,0,2,2
3,48,48,12,1,10,87,195.3604739,0,0,2,2,0,2,1,7,7,22,22,5,5,5,5,12,12,1,1,0,0,1,1,1,1,0,3,3,2,2,0,0,0,0,0,0,9,2
3,48,48,12,1,8,87,119.272156,0,0,1,1,0,1,1,1,1,2,2,0,0,0,0,24,24,0,0,1,1,19,19,1,4,0,3,3,99,1,0,0,1,1,1,1,1,1
3,70,70,16,2,10,138,189.9777285,0,0,3,1,2,1,1,7,7,1,1,20,20,20,20,14,14,0,0,0,0,1,1,1,7,0,2,2,1,1,0,0,0,0,0,0,2,2
3,70,70,16,2,8,138,116.6416093,0,0,2,2,0,4,1,7,7,6,6,38,38,38,38,12,12,6,6,0,0,2,2,2,1,0,1,1,1,1,0,0,2,2,4,4,2,2
3,70,70,16,2,10,138,189.9777285,0,0,2,2,0,2,1,1,1,12,12,20,20,20,20,12,12,1,1,0,0,3,3,3,1,0,1,1,10,10,0,0,0,0,0,0,2,2
3,70,70,16,2,9,138,120.2625678,0,0,2,2,0,6,1,1,1,15,15,0,0,0,0,12,12,1,1,0,0,3,3,2,1,0,1,1,2,2,0,0,0,0,0,0,2,2
3,12,12,12,1,4,4142,10.4057229,0,0,1,1,0,1,1,7,7,7,7,5,5,5,5,42,42,0,0,0,0,1,1,1,4,0,1,1,5,5,0,0,3,3,1,1,2,2
3,75,75,19,2,6,4144,46.18433409,0,0,1,1,0,2,1,7,7,12,12,0,0,0,0,24,24,0,0,1,1,19,19,1,4,0,1,1,2,2,0,1,1,1,2,2,2,2
3,75,75,19,2,10,4144,186.0467773,0,0,1,1,0,2,1,1,1,21,21,6,6,6,6,11,11,0,0,0,0,1,1,1,1,0,2,2,1,1,0,1,0,0,0,0,2,2
3,78,78,10,1,9,4146,124.3462461,0,0,2,2,0,3,1,7,7,8,8,20,20,20,20,12,12,1,1,0,0,3,3,3,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,12,12,12,1,5,4142,22.86839102,0,0,1,1,0,1,1,1,1,9,9,55,55,55,55,30,30,0,0,0,0,1,1,1,4,0,1,1,1,1,0,0,3,3,1,1,2,2
3,12,12,12,1,8,4142,120.4022914,0,0,2,2,0,5,1,1,1,18,18,25,25,25,25,12,12,1,1,0,0,3,3,2,1,0,2,2,1,1,0,0,1,1,2,2,9,2
3,12,12,12,1,10,4142,196.2245855,0,0,2,2,0,2,1,1,1,13,13,54,54,54,54,12,12,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,75,75,19,2,9,4144,117.543908,0,0,1,1,0,2,1,7,7,15,15,25,25,25,25,11,11,0,0,0,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,2,2
3,35,35,13,1,8,4141,119.77892,0,0,1,1,0,6,1,7,7,9,9,46,46,46,46,30,30,0,0,0,0,3,3,3,4,0,1,1,10,10,0,0,2,2,1,1,2,2
3,63,63,16,2,7,4135,127.1185695,0,0,2,1,1,1,1,7,7,4,4,39,39,39,39,14,14,0,0,0,0,1,1,1,2,0,2,2,1,1,0,1,0,0,0,0,9,2
3,83,83,13,1,10,4148,198.6423173,0,0,2,2,0,3,1,7,7,14,14,56,56,56,56,12,12,6,6,0,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,2,2
3,28,28,11,1,6,4139,49.2893234,0,0,2,2,0,2,1,2,2,7,7,55,55,55,55,12,12,1,1,0,0,3,3,2,1,0,1,1,1,1,0,0,1,1,1,1,9,2
3,28,28,11,1,9,4139,124.7110349,0,0,2,2,0,3,1,1,1,14,14,23,23,23,23,12,12,1,1,0,0,3,3,2,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,78,78,10,1,10,4146,195.8166711,0,0,1,1,0,1,1,1,1,22,22,47,47,47,47,42,42,0,0,0,0,1,1,1,3,0,2,2,1,1,0,0,0,0,0,0,2,2
3,65,65,13,1,8,4138,118.9982947,0,0,2,2,0,2,1,7,7,5,5,0,0,0,0,12,12,7,7,0,0,1,1,1,1,0,3,3,1,1,0,0,1,1,1,1,9,2
